test_number,position,source_position,question_id,question,answer_1,answer_2,answer_3,correct_option,correct_answer,answer_key_status,answer_key_note,image_local,image_url
1,34,35,938,Que significa aquest senyal?,Senyal de posiciò d'una desviaciò o d'un estrenyiment temporal.,Direccio per corba.,Corba perillosa.,2,Direccio per corba.,present,,images/b4254f7d733e_1-938.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/1-938.jpg
1,35,36,946,"Als carrers de doble sentit de circulaciò, podem trobar vehicles que vinguin de cara avançant, i si la calçada no és prou ampla, hem de...",Augmentar la velocitat per passar abans.,Parar en un estacionament.,Disminuir la velocitat i parar-nos si calgués.,3,Disminuir la velocitat i parar-nos si calgués.,present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
1,36,37,943,Si notem que els pneumàtics rellisquen en agafar una corba en una carretera normalment enquitranada?,"Vol dir que no circulem a la velocitat adequada, hem de reduir-la.",Es normal si portem la segona velocitat.,Hem de fer contravolant i posar el fré de mà.,1,"Vol dir que no circulem a la velocitat adequada, hem de reduir-la.",present,,images/9ed821c9f1e9_1-943.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/1-943.jpg
1,37,38,939,Que significa la senyal amb la lletra A?,Velocitat màxima obligatòria.,Velocitat mínima obligatòria.,Velocitat màxima aconsellable.,3,Velocitat màxima aconsellable.,present,,images/15952f9c58f2_1-939.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/1-939.jpg
1,38,39,927,"En atançar-nos a un pas estret, a una intersecciò o a un pas a nivell, és obligatori...",Reduir la velocitat.,Cedir el pas a tots els vehicles que s'atansin en sentit contrari.,Parar tocant la vorera de la dreta.,1,Reduir la velocitat.,present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
1,39,40,954,Està prohibit…,Comprar en parades del carrer sense baixar del vehicle.,Avançar per l'esquerre.,Vessar matèries greixoses en la vía pública.,3,Vessar matèries greixoses en la vía pública.,present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
1,40,41,957,Que significa aquest senyal?,Vehicles amb càrregues que sobresurten.,Pintura a la calçada -pas per a vianants-.,Vehicle amb una longitud superior a 12m.,1,Vehicles amb càrregues que sobresurten.,present,,images/931ad23c2889_1-957.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/1-957.jpg
2,1,1,1148,Que representa aquest senyal?,Perill per obres en la calçada,Pont móbil.,Canvi de rasant.,3,Canvi de rasant.,present,,images/e886152caddd_2-1148.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/2-1148.jpg
2,2,2,1118,Que significa aquest senyal amb la lletra B?,Direcciò prohibida,Prioritat a la direcciò,Prioritat de pas.,3,Prioritat de pas.,present,,images/6dea9d92329c_2-1118.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/2-1118.jpg
2,3,3,1120,Com hem d'efectuar la maniobra de canvi de direcciò a la dreta?,"Atansant-nos progresivament a la vora dreta de la calçada, senyalitzant la nostra maniobra.",Situant-nos en el centre de la calçada.,Donant preferència als vehicles que s'atansin en sentit contrari.,1,"Atansant-nos progresivament a la vora dreta de la calçada, senyalitzant la nostra maniobra.",present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
2,4,4,1138,"Quan trobem l'agent de circulaciò en aquesta posició, que hem de fer?",Parar i esperar el senyal de pas lliure.,Podem continuar en línia recta.,Hem d'esperar que l'agent es giri per indicar- nos el que hem de fer.,2,Podem continuar en línia recta.,present,,images/74b0c77afcc2_2-1138.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/2-1138.jpg
2,5,5,1135,Que indica aquest senyal rectangular de fons groc i vorada vermella que porta aquest vehicle?,Vehicle que transporta materies inflamables o perilloses.,Precauciò vehicle amb remolc.,Vehicle que sobrepassa els 12m. de longitud,3,Vehicle que sobrepassa els 12m. de longitud,present,,images/4af551521000_2-1135.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/2-1135.jpg
2,6,6,1144,"Si circulem quan hi hagi boira, ho hem de fer :",A vint quilómetres per hora.,Amb la senyalització d'emergència connectada per tal que ens puguin veure els altres usuaris.,A una velocitat adequada que ens permeti sempre detenir el vehicle dins la zona de visió que disposem,3,A una velocitat adequada que ens permeti sempre detenir el vehicle dins la zona de visió que disposem,present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
2,7,7,1141,Quan és obligatori parar el funcionament del motor?,Quan reposem carburant.,Quan efectuem una parada.,Sempre que sigui necessari posar aigua al radiador.,1,Quan reposem carburant.,present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
2,8,8,1146,Que ordena aquest semàfor?,Precaució a la seva altura,Via lliure,Preparar-se per a parar. Canvi próxim,2,Via lliure,present,,images/be28ccef9fba_2-1146.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/2-1146.jpg
2,9,9,1122,Que significa aquest senyal?,Fi de doble sentit de circulació.,Circulaciò paral.lela,Direcciò obligatòria.,2,Circulaciò paral.lela,present,,images/f35049d455dc_2-1122.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/2-1122.jpg
2,10,10,1127,Que significa aquest senyal amb la lletra A?,Direcciò prohibida.,Prioritat a la direcciò contrària.,Prioritat de pas.,3,Prioritat de pas.,present,,images/b54061a9b6a1_2-1127.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/2-1127.jpg
2,11,11,1153,Que ens indica el conductor del turisme?,Que podem avançar-lo.,Que es disposa a parar.,Que es disposa a girar a l'esquerra.,3,Que es disposa a girar a l'esquerra.,present,,images/a975d4868228_2-1153.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/2-1153.jpg
2,12,12,1137,Que significa aquest senyal?,Volta prohibida,"Atenció, corba perillosa vers l'esquerra.",Prohibit girar a l'esquerra.,1,Volta prohibida,present,,images/6960cbe66523_2-1137.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/2-1137.jpg
2,13,13,1140,Quin significat té aquest senyal?,Longitud total del vehicle limitada.,Limitaciò d'amplada.,Prohibiciò d'aparcar més de dos minuts.,2,Limitaciò d'amplada.,present,,images/17a82d3b15b9_2-1140.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/2-1140.jpg
2,14,14,1131,"En zones de calçada mal conservada, on es pugui esquitxar fang o grava...",Es obligatori moderar la velocitat.,Hem d'aturar-nos devant la presència d'un altre vehicle.,"Se circularà pel centre de la calçada,esquivant els sots",1,Es obligatori moderar la velocitat.,present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
2,15,15,1152,Que representa aquest senyal?,Fi de tunel,Enllumenat d'encreuament obligatori.,Fi d'obligació d'enllumenat d'encreuament i possiblitat de prescindir-ne si les circumstàncies de visibilitat no ho imposen.,3,Fi d'obligació d'enllumenat d'encreuament i possiblitat de prescindir-ne si les circumstàncies de visibilitat no ho imposen.,present,,images/ea97f64b6d30_2-1152.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/2-1152.jpg
2,16,16,1157,Que indica aquest senyal?,"Fi de doble sentit de circulació, via lliure.",Direcció obligatòria.,Gir obligatori.,1,"Fi de doble sentit de circulació, via lliure.",present,,images/5de64c714897_2-1157.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/2-1157.jpg
2,17,17,1150,Quin vehicle té prioritat?,"El cotxe vermell, perquè té la seva dreta lliure.","El cotxe blau, per sortir el vermell des de l'interior d'un immoble.","El cotxe vermell, per sortir de l'interior d'un immoble.",2,"El cotxe blau, per sortir el vermell des de l'interior d'un immoble.",present,,images/956466851239_2-1150.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/2-1150.jpg
2,18,18,1133,Quina finalitat té la senyalitzaciò de gálib?,Anunciar les detencions dels vehicles pesants.,Indicar l'amplada i la longitud dels vehicles pesants.,"Anunciar la presència, maniobres i detencions dels vehicles automòbils.",2,Indicar l'amplada i la longitud dels vehicles pesants.,present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
2,19,19,1130,"Com a norma general, la distància de seguretat ha d'augmentar-se el doble en els casos seguents.",Quan es condueix durant la nit.,Quan la visibilitat sigui insuficient per circumstàncies climatològiques.,Quan anem darrere d'un camió.,2,Quan la visibilitat sigui insuficient per circumstàncies climatològiques.,present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
2,20,20,1155,En els encreuaments sense senyalitzar tenen preferència...,Els vehicles que apareixen per la meva dreta,Els vehicles que circulin en sentit contrari.,Abans d'entrar en l'altra via hem de donar preferència a tots els vehicles que hi circulin.,1,Els vehicles que apareixen per la meva dreta,present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
2,21,21,1154,Quan està permés parar i estacionar en el costat esquerre de les calçades en vies urbanes?,Quan la dreta està ocupada.,Solament quan la via és de doble sentit de circulació i hi hagi espai.,Quan són d'un sol sentit de la marxa i no s'obstaculitzi la circulaciò,3,Quan són d'un sol sentit de la marxa i no s'obstaculitzi la circulaciò,present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
2,22,22,1149,"Per conduir un vehicle de 3500kg, 10 seients arrosegant un remolc de 850kg, es necessari ser posseidor d'un permís de conduir amb la/es categoria/es...",B1.,D+E,D1+E.,3,D1+E.,present,,images/688e628b56af_2-1149.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/2-1149.jpg
2,23,23,1121,"Digueu dues consideracions correctes que, entre d'altres, hem de tenir en compte abans d'iniciar un avançament?",Que la calçada tingui un mínim de vuit metres i que el vehicle al qual volem avançar no sigui d'una cilindrada major al nostre.,La velocitat i la marxa de l'altre vehicle.,Les dimensions i la velocitat de l'altre vehicle.,3,Les dimensions i la velocitat de l'altre vehicle.,present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
2,24,24,1132,Que indica aquest senyal?,Fi d'obligació d'enllumenat d'encreuament.,Obligaciò d'enllumenat d'encreuament.,Fì de tùnel.,2,Obligaciò d'enllumenat d'encreuament.,present,,images/d8a5c67d9ad5_2-1132.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/2-1132.jpg
2,25,25,1151,Quan està permés avançar per la dreta?,Mai.,Quan el vehicle que va devant circuli pel carril de l'esquerra.,Quan el conductor del vehicle que va al devant faci el senyal de gir a l'esquerra i deixi espai suficient a la dreta.,3,Quan el conductor del vehicle que va al devant faci el senyal de gir a l'esquerra i deixi espai suficient a la dreta.,present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
2,26,26,1145,Quan està permesa la competència de velocitat en les vies públiques obertes al trànsit general?,Mai,Únicament en les vies interurbanes de circualciò en un sol sentit i amb dos carrils com a mínim.,Solament quan un vehicle és d'urgéncia.,1,Mai,present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
2,27,27,1136,Quan estem especialment obligats a circular per la dreta?,Quan la carretera no tingui prioritat,"Quan la visibilitat sigui insuficient, en corbes, canvis de rasant, etc.",Quan la part central de la calçada no estigui marcada.,2,"Quan la visibilitat sigui insuficient, en corbes, canvis de rasant, etc.",present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
2,28,28,1139,Que representa aquest senyal?,Prohibit girar a la dreta,Obligatori girar a la dreta.,Corba perillosa a la dreta.,1,Prohibit girar a la dreta,present,,images/96c75965506a_2-1139.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/2-1139.jpg
2,29,29,1147,On hem de fer l'STOP?,Un metre abans de l'encreuament.,En el lloc on tinguem visibilitat suficient abans d'entrar en la calçada transversal.,Quan les rodes davanteres es trobin en la calçada transversal.,2,En el lloc on tinguem visibilitat suficient abans d'entrar en la calçada transversal.,present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
2,30,30,1125,Que significa aquest senyal?,Vehicle amb carregues que sobresurten.,Pintura a la calçada (pas de vianants).,Vehicle amb una longitud superior a 12m.,1,Vehicle amb carregues que sobresurten.,present,,images/d8695b0c806d_2-1125.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/2-1125.jpg
2,31,31,1129,Calçades d'autopista amb tres carrils per a cada sentit.Es correcta la maniobra que realitza aquest turisme?,"Si, perqué ha anunciat la maniobra amb suficient antelaciò.","No, està totalment prohibit.","Si, perqué són linies discontinues.",2,"No, està totalment prohibit.",present,,images/80f0674908bd_2-1129.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/2-1129.jpg
2,32,32,1119,Si notem que els pneumàtics rellisquen en agafar una corba en una carretera normalment enquitranada...,"Vol dir que no circulem a la velocitat adequada,hem de reduir-la.",Es normal si portem la 2a velocitat.,Hem de fer contravolant i posar el fre d'estacionament.,1,"Vol dir que no circulem a la velocitat adequada,hem de reduir-la.",present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
2,33,33,1123,Els cinturons de seguretat per als usuaris dels vehicles de turisme...,Son obligatòris per als ocupants de les places devanteres i recomanats per als de les places posteriors.,Només cal posar-los als ocupants al circular per zona interurbana.,Es obligatori per tots els ocupants del vehicle.,1,Son obligatòris per als ocupants de les places devanteres i recomanats per als de les places posteriors.,present,,images/9eeddf6b9fab_2-1123.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/2-1123.jpg
2,34,34,1134,"Circulant de nit per una autopista suficientment il.luminada, quin enllumenat hem de portar encès?",El de carretera.,L'ordinari solament.,El d'encreuament.,3,El d'encreuament.,present,,images/c1d21936ff97_2-1134.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/2-1134.jpg
2,35,35,1124,"Quan disminueix la nostra atenciò per son o qualsevol altra circumstància i no ens fà efecte la ventilaciò del cotxe, que hem de fer?","Obrir una finestra i buscar un lloc on estacionar el cotxe sense perill. Llavors, prendre l'aire i descansar.",Augmentar el ritme de la marxa per estar més concentrats.,"Posar la radio a fort volùm, encendre una cigarreta o parlar ininterrumpudament amb els ocupants.",1,"Obrir una finestra i buscar un lloc on estacionar el cotxe sense perill. Llavors, prendre l'aire i descansar.",present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
2,36,36,1143,"En la majòria dels vehicles, el retrovisor interior no permet una visió total : existeixen uns angles morts que limiten la visió, com ho pal.liarem?",Regulant bé el retrovisor interior.,Posant un retrovisor a la finestra posterior.,Utilitzant complementàriament els retrovisors laterals exteriors.,3,Utilitzant complementàriament els retrovisors laterals exteriors.,present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
2,37,37,1126,"Es aconsellable descansar després de l'absorció d'alcohol, pero no hem d'oblidar que l'alcoholemia augmenta progresivament durant la digestió i arriba al seu nivell més alt :",Tres hores després que el conductor hagi ingerit la darrera dosi d'alcohol.,Dues hores després que el conductor hagi finalitzat la digestiò.,Una hora després d'haver ingerit la darrera dosi d'alcohol.,3,Una hora després d'haver ingerit la darrera dosi d'alcohol.,present,,images/79547ab977b8_2-1126.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/2-1126.jpg
2,38,38,1142,"Quan arribem a un lloc on s'ha produit un accident, en primer lloc, hem de :","Ajudar els ferits, sense importar rés més.",Avisar l'autoritat.,"Detenir-nos quan sigui possible i, sense crear perill per a la circulació, prestar l'ajut necessari.",3,"Detenir-nos quan sigui possible i, sense crear perill per a la circulació, prestar l'ajut necessari.",present,,images/afce47264e32_no-image.jpg,https://www.autoescolaolimpica.com/img/imatges_questionari/no-image.jpg
